expenseId,budgetId,name,amount,type,date,to,note
47,741,"QYiIjk",40.79,"clothing",2012-01-14,"CDspdk","umVjbwOjuU"
48,624,"WPUuEQ",341.12,"other",2021-05-09,"KsDEeM","aKunQPdTOZ"
49,642,"BMQuWJ",470.7,"entertainment",2008-08-04,"mqHaqz","wcsUekaPFn"
50,113,"odzRnA",465.3,"entertainment",2017-09-08,"SjpvRg","VxmuSsrpMq"
51,857,"IxSZHz",169.55,"groceries",2015-08-05,"sIuZZI","eOJdQtMhRC"
52,945,"RiUjdY",33.63,"gas",2019-04-30,"DKJBad","jkkeksfSoo"
53,634,"ularqg",69.12,"entertainment",2015-12-14,"DlEBLC","hqzXTbWDaT"
54,894,"fyyzzW",415.22,"groceries",2010-12-09,"MHaGxO","KzwXfxtsaS"
55,348,"IqlZiZ",449.02,"other",2008-06-17,"smPrtb","jwJiEcagMq"
56,326,"ciMUxd",223.66,"entertainment",2008-05-24,"mFejvw","zYuLyxGzQN"
57,184,"PlPWTD",448.86,"clothing",2021-10-29,"GvbVmN","TyvsFkyyCi"
58,715,"JVCAsP",370.49,"groceries",2011-05-13,"TRIHtu","qMTLxGYsaK"
59,600,"EDAsfl",115.79,"other",2010-11-02,"kldGne","hSsTlloRgD"
60,658,"sJadQO",147.12,"entertainment",2016-04-23,"DGwVkW","ehfxvtTlwl"
61,814,"pWWseB",133.06,"entertainment",2017-03-28,"FlkMeJ","VCzyXLPFUF"
62,445,"TcmTIn",199.1,"clothing",2016-01-04,"TTQJxy","VOvYrrzLgY"
63,622,"iQqRcM",371.82,"groceries",2015-03-08,"xXrYAO","bIMjjGCWPd"
64,856,"vBnBJL",207.79,"rent",2015-08-30,"fVlKBk","EECVYONScC"
65,251,"qxJoou",463.66,"gas",2015-02-14,"jUoANF","ZIIhsFoEIn"
66,94,"PwVYmA",183.2,"rent",2021-11-13,"WynxfB","mYaoDhBeWP"
67,399,"SJNToI",367.35,"gas",2011-01-15,"GeLzCf","RsdetLqHaa"
68,902,"LNzuqs",247.6,"entertainment",2016-07-31,"ruOttZ","matPQtCCki"
69,240,"MBTkGU",495.03,"gas",2011-01-05,"cONOJc","rbFCOPjYZs"
70,17,"jqMjDU",15.84,"entertainment",2021-05-27,"PwFgmT","JYsKbWDosU"
71,359,"EhyhTd",83.74,"other",2015-12-02,"MFypGq","RyYiruCtNO"
72,199,"WGMlmM",215.97,"other",2012-10-16,"dipyQo","QUysSEOnRd"
73,301,"eLfPdt",318.41,"other",2011-05-15,"yLVjOt","YsUmXhBEwv"
74,292,"JBhQZR",269.86,"clothing",2019-11-28,"KnfxYX","WyqqobyuaO"
75,512,"mSACZB",8.69,"clothing",2014-01-15,"ecpNZA","pMKiRYBmsa"
76,483,"anJtpG",273.96,"gas",2012-02-24,"kuFvGm","PEisUoERhc"
77,189,"QKwRuL",498.73,"entertainment",2017-09-14,"GuWRXx","tFRpryvKCP"
78,279,"uRZlwi",50.61,"rent",2009-10-29,"umZiPV","yjJjaCysBM"
79,930,"jjhyNe",383.0,"groceries",2018-09-26,"HtBAKo","XxVpfYBZkr"
80,962,"xSFQbc",195.86,"rent",2011-11-16,"ScETfH","yYsEiCwEBV"
81,354,"AaFxKn",360.77,"groceries",2020-06-25,"rdkwiP","dBNUybaEFt"
82,691,"MrFpfk",123.72,"clothing",2019-08-09,"pbyNZH","NlpTzZDqhD"
83,692,"gPJRsV",334.79,"gas",2016-02-25,"DHYkeY","rqdcSEXGkJ"
84,174,"sMlfEa",134.01,"clothing",2014-10-06,"hPAKsD","qUTZpXirYP"
85,605,"QEmrER",93.65,"clothing",2008-01-31,"NUcVPh","bClGYSrTLL"
86,168,"shDecP",232.46,"gas",2016-10-04,"adhZgB","IWNGQeluGn"
87,365,"hIMRtX",117.15,"rent",2013-10-09,"jEaXzH","vhHtMMInCu"
88,234,"fucoFd",390.31,"other",2016-04-05,"yYDpcl","ZsrxPnVzEH"
89,634,"RuwXuw",140.73,"entertainment",2017-12-16,"SFIGTm","RrsiyiPQel"
90,597,"rpokgN",335.38,"entertainment",2017-07-09,"mkrhbt","iLlsnEnqkD"
91,396,"jeGqaO",99.45,"clothing",2018-08-12,"PnZZqH","bidzpxbbze"
92,874,"gEALVd",348.19,"groceries",2014-03-21,"uNKKhi","JvIurdKKVN"
93,82,"spnjqO",404.1,"entertainment",2011-01-08,"RCCEAQ","Edibxjknqm"
94,195,"yUMryT",203.43,"groceries",2018-05-09,"nrvFbZ","bhEXktzOqc"
95,860,"UxMHfq",472.43,"entertainment",2011-12-27,"qMgmeI","qWigEZVCLs"
96,95,"adcRYM",358.37,"other",2009-05-22,"IXYsPF","GnPTSueICK"
97,525,"UXRPZX",438.35,"rent",2015-07-19,"woLZiw","ktULUCUViE"
98,213,"tMKUaU",386.86,"clothing",2018-08-15,"xwTwkZ","OOFeAXEqbM"
99,1000,"BPTAoY",40.65,"gas",2009-12-02,"TKWiss","wqHwcCmHeF"
100,270,"CKJlzE",106.65,"other",2015-10-02,"vRhIXD","rnMEztnKRR"
101,441,"YHkKKb",87.15,"groceries",2017-08-09,"VSugJJ","kPlyFgUOHN"
102,262,"SttKuZ",341.59,"rent",2021-10-02,"ztUTfY","KrUzmBmWXq"
103,158,"yiSDuz",264.3,"gas",2015-11-12,"PIXWnB","pIsDikCIVK"
104,433,"IsUurG",276.53,"other",2018-10-21,"oRogyo","OJuUPzxqsS"
105,662,"MOdtUn",307.1,"rent",2016-04-01,"aGthtJ","GuJypCGSjf"
106,821,"ldDnSw",461.74,"gas",2019-03-30,"RizBOh","ckrYvNIJjN"
107,816,"UfOrMP",481.71,"entertainment",2021-08-14,"rtzuRz","LAQGecEBZI"
108,812,"cdccvl",120.48,"groceries",2013-02-06,"tkzzYm","pqFhdzKyvg"
109,770,"oEtTUQ",410.62,"other",2014-10-29,"QsXeww","ydxKgtnDQr"
110,120,"JXhpWa",179.26,"other",2013-03-17,"McqRub","ETEWwdVdZO"
111,13,"ZdaHpg",293.24,"groceries",2015-11-30,"YzcgAz","hSFSAfyozN"
112,93,"PzzEiR",206.31,"gas",2021-05-17,"SAnHiu","vJYzEPpsbR"
113,308,"sjLubr",73.27,"other",2008-06-19,"EmqZug","rAwMXMnVrK"
114,619,"JtNCEy",12.54,"rent",2013-05-08,"FfMMEl","NVvLinfdjX"
115,670,"wqWgCM",193.65,"groceries",2009-12-26,"fWIcbM","GDAVHXfnFd"
116,378,"miEzKh",147.13,"other",2008-05-26,"XLHbVk","fJlLzEiMdG"
117,763,"YRFPTQ",462.98,"gas",2012-12-26,"OkayPw","KxsLuZZSIS"
118,180,"hCpNuc",463.89,"groceries",2015-02-08,"DTCMvi","DeDDGedTLD"
119,677,"mlduZg",366.57,"clothing",2012-06-07,"TORhNl","XCzoaNPwid"
120,427,"iGpygH",392.32,"gas",2008-06-16,"miaivQ","JbNtRrnQKH"
121,439,"IkysyW",11.06,"entertainment",2008-01-28,"uFnayn","IJGvrTwEPr"
122,870,"VUgGSi",80.95,"rent",2017-07-22,"wxnyVU","tikmVMgaPM"
123,650,"CxUIRi",464.62,"gas",2021-04-04,"yrkFMW","idcFutXqww"
124,566,"QXOEGT",429.93,"gas",2014-09-10,"ruOgOU","GPBAlPJSau"
125,55,"GWOUoQ",448.49,"groceries",2008-11-05,"bbBiQC","AIzpPaeziF"
126,680,"LmQrlO",111.03,"rent",2008-10-16,"fxocPi","GndzELsqeV"
127,177,"RCUbdm",479.07,"other",2019-08-23,"GhFnBB","MJqatXdpPg"
128,419,"kwFzhw",302.19,"gas",2013-04-21,"TlcGeN","vdHaKCZInf"
129,819,"GCXOcM",311.17,"other",2016-08-13,"fTYrCe","ZKfMCgjPMk"
130,407,"mqhXhn",316.81,"groceries",2015-10-06,"TKrpTp","KQzxfrVgaD"
131,614,"SMpZTX",159.64,"groceries",2015-07-11,"uRFnlF","fHlGMwiQIn"
132,20,"QOjwVU",461.87,"entertainment",2011-07-11,"pIYvvB","lptDNfhXQK"
133,753,"zqNTlB",120.18,"groceries",2019-09-05,"WysmiW","TVGYXXkSJX"
134,635,"kpSfIL",72.8,"rent",2015-05-21,"szJcpx","ArTFGMUZYi"
135,424,"mRdslG",17.46,"rent",2018-03-26,"yXhNep","EzYijfRpAo"
136,666,"aUVDhe",242.33,"rent",2014-01-23,"HVYCJN","mHcEFqPGli"
137,601,"MjRjBM",394.35,"other",2021-05-13,"uieKUl","KCTXkAzeHN"
138,384,"ZMQgZI",122.47,"entertainment",2021-08-23,"vdryyM","HiPuEXqMbw"
139,120,"VhFeza",158.3,"rent",2019-04-28,"NxfhPt","JECsWbRQyj"
140,623,"NwxgGi",245.98,"rent",2011-07-30,"FIDABV","xqRxschjxC"
141,273,"tvMwAt",260.85,"rent",2008-12-03,"DvzVwV","LcJokOzwsW"
142,30,"kmmGGD",419.29,"groceries",2019-03-29,"MZSesN","WovMKfoqwy"
143,278,"pPWGDK",293.77,"groceries",2017-06-02,"zFgXVg","vYtJZljUPL"
144,160,"tMHxxX",2.92,"entertainment",2013-04-11,"lZohWK","Iyswqhfjgr"
145,543,"IXcNPv",313.71,"gas",2019-02-13,"ILMsar","mnSqIfMEwN"
146,246,"PSLUkm",105.95,"entertainment",2011-01-28,"ClbgTh","FEySnDmkpl"
147,358,"poBKci",239.26,"groceries",2011-06-29,"lBTAWv","EvSBOXADvF"
148,838,"XnyIhE",227.74,"clothing",2019-09-07,"CNhxpm","tCtmmzbRnf"
149,418,"CPgKEY",370.72,"groceries",2018-12-25,"SeAXFN","CrWkYuZXCa"
150,710,"WuqiSI",325.43,"gas",2019-06-28,"vjDIub","TriGJREgQs"
151,288,"dthlar",77.79,"entertainment",2014-11-04,"jEhVGR","bwvWeJDMWa"
152,736,"pEVhDg",471.63,"other",2008-12-31,"wHsHyg","xwwTPLZKOA"
153,330,"jiGpfh",488.77,"clothing",2017-05-10,"OrOVdf","LtITxEhdaH"
154,16,"poNPtC",130.5,"groceries",2020-09-02,"oZrfqX","IkwDZrjXjK"
155,497,"yAyeYA",128.45,"gas",2015-04-03,"NZKrli","hCbgOtTnJA"
156,74,"JSjruh",492.95,"clothing",2015-03-06,"qsLwbh","RXKYECGFql"
157,649,"AJOKPy",390.86,"other",2014-11-07,"XWeFZA","cBOTqmGgLd"
158,306,"CmbWAV",97.1,"clothing",2009-03-09,"gnJpOs","XIjMzCuPgX"
159,897,"XMTuwB",142.2,"rent",2021-03-08,"hGtVlV","xTTydYnNzU"
160,738,"bFGkPg",295.24,"groceries",2012-05-21,"EzDZaG","kxaLfzGmYE"
161,685,"YDotUn",332.39,"other",2018-02-23,"VHjgoV","ehJjGTxnCP"
162,651,"zmesRz",341.24,"entertainment",2015-12-02,"RELlIr","obbOeaFtqF"
163,670,"eMwgCK",82.4,"entertainment",2013-11-18,"suVmMP","YxRGAJRNZz"
164,839,"gmSznt",2.81,"rent",2021-02-16,"tQWIjZ","FLfKlsJPRE"
165,796,"ftQcYu",293.55,"other",2010-06-06,"OYqwCW","kUVtjLaqyb"
166,988,"nsKCWw",430.86,"rent",2009-08-17,"XghWBm","jmeBENSiIw"
167,380,"mQjHRB",277.66,"other",2019-04-29,"YAIXyy","GcUTvDDlpu"
168,246,"JTKWGX",282.4,"entertainment",2020-10-14,"HvirMo","mwzafKIUmY"
169,482,"EgadaA",282.44,"gas",2009-07-16,"misaVr","euKuccaohL"
170,20,"lcHnnd",377.16,"rent",2010-01-29,"hVCKqw","WENMyTAubk"
171,397,"PkKAqx",423.45,"groceries",2009-05-29,"fBFTzb","fScDlhAMqg"
172,57,"SRQaLt",490.86,"rent",2011-06-21,"fysccI","bewoijybXO"
173,727,"qmdcMm",437.36,"gas",2013-03-04,"ytfvwK","FYwzEfoeCn"
174,616,"oTROiT",88.16,"rent",2017-12-14,"bZDGvB","bhYJHdEptW"
175,756,"lUdDJf",100.22,"gas",2020-10-28,"fdBMZC","QHtDttEHSB"
176,974,"tsYcdL",182.9,"clothing",2014-07-30,"HkcyGO","rdqwVNYIRz"
177,566,"PDIghS",467.26,"other",2020-06-22,"IULXof","ynRdIAAuKK"
178,942,"PNXxlI",164.56,"rent",2015-09-30,"YMldmm","bMUETTeLKy"
179,513,"eFyRNX",334.09,"rent",2021-01-31,"vLaabf","YDfHiSqqbO"
180,157,"YmrtNX",409.9,"clothing",2021-09-25,"NLtRtt","ItIPWdPjct"
181,217,"pHkuGe",353.17,"other",2010-03-05,"xcCXqI","lyoMyjQHoR"
182,903,"qLzQEY",344.81,"gas",2010-05-06,"EoNlYj","JNLBdjlxYb"
183,238,"RUsOeb",289.65,"other",2020-05-29,"YgkdwL","jqCivBUygU"
184,420,"xTMYxS",52.4,"other",2020-01-29,"whJFBU","jzMexrOhuv"
185,772,"ddaAwp",72.93,"groceries",2015-11-17,"pzMkwz","lrdeekUtBv"
186,657,"BpIkET",64.65,"rent",2008-11-20,"hQpnzt","PKEPhUpcSW"
187,26,"uqjUQA",15.91,"rent",2012-07-01,"aOUjoG","ZULVZImVJd"
188,261,"TyNzjf",53.6,"groceries",2020-03-22,"RJbiRr","vwOJYSsNGg"
189,337,"EbsbqM",448.37,"rent",2021-02-10,"LaRKmu","zSibIqLWyg"
190,416,"crHWYO",247.1,"entertainment",2021-04-18,"OuXdTg","WvQqiBqgln"
191,413,"NYJpHa",476.27,"groceries",2020-04-02,"IKaijS","TzpTvhMXHF"
192,826,"kkvEyD",53.6,"groceries",2012-01-20,"XjXPAp","odmYZPmTBi"
193,549,"wNwGRk",82.38,"entertainment",2009-12-19,"YKVeEO","DuotHbfwFA"
194,384,"TEwfPp",359.49,"gas",2018-03-16,"HRoYzu","ieUvNRfQVY"
195,170,"IBraCS",235.36,"gas",2021-01-08,"JsNwqo","QFipFsiKHT"
196,745,"VxuYte",190.26,"entertainment",2020-07-06,"KRfEfF","kLQhomBhfV"
197,611,"FUHmDX",67.13,"gas",2013-07-11,"YtjsyN","SbRNDXodma"
198,614,"nTrUrp",383.12,"rent",2016-04-11,"rFkckm","xQpwrDdNpi"
199,388,"QBYHQZ",168.48,"entertainment",2018-06-26,"ZLmmKO","lKAiZHwHVZ"
200,785,"jUkebl",222.42,"rent",2018-07-16,"DxbwOa","aTOsxQJaUY"
201,960,"jCydNw",111.07,"clothing",2013-11-03,"CEZnNE","kUdtXopcHB"
202,152,"ZveOBH",465.24,"rent",2012-01-16,"SUcUZO","MUFjvexrNA"
203,440,"uDwueq",467.09,"clothing",2017-08-07,"uDbjZV","TgyRuAFVJo"
204,572,"sDcZyR",496.21,"other",2011-05-15,"GoduhI","gNDkYZlyjp"
205,814,"kXXJCW",338.21,"groceries",2015-04-13,"LZmExt","WsPJfGnLaf"
206,361,"LdvyJB",226.66,"groceries",2021-06-12,"LBQcgK","OFTnRnWkNk"
207,783,"VYkpFN",63.47,"other",2021-05-16,"QdNJAC","KDrglXUBvm"
208,161,"EDiEbr",71.69,"clothing",2010-04-24,"qBzkcp","egTodIgHya"
209,951,"xUbFch",134.11,"other",2014-08-02,"tZtTwV","itLRKVqfOO"
210,690,"tcbjoc",459.1,"other",2015-05-06,"ytDtco","XzIEetfFDM"
211,385,"IWcSWQ",383.45,"rent",2009-02-14,"YkutSM","kGhBsxeDrz"
212,899,"AAYNTL",397.66,"rent",2014-01-03,"JWwQjm","BKZOkyxAoS"
213,67,"AQMWaq",409.65,"clothing",2018-03-13,"aHKDZs","zicyVQHBFu"
214,274,"FOCfLv",291.03,"groceries",2009-08-14,"mRjURd","HycECoAUJe"
215,951,"UBArJj",312.02,"clothing",2014-09-02,"aHSdVV","NzfLmdxTgG"
216,529,"ZkfCCq",365.39,"clothing",2017-10-26,"Lamgza","atZfilIkcl"
217,777,"IhxHoj",229.41,"rent",2021-09-14,"IiQFvl","DieODozYtR"
218,150,"YIEGnA",158.17,"gas",2017-03-27,"TKcZmp","fPeiNIihde"
219,198,"MqppVf",63.21,"gas",2014-01-04,"ONSsly","OVFNxYycMz"
220,584,"QBlGHZ",497.9,"gas",2020-06-02,"XwXfbg","gkvvpRPPGc"
221,119,"zcehDY",455.35,"gas",2010-09-10,"IjZFDZ","OLuAfhyteS"
222,400,"EgxjRl",416.69,"groceries",2011-10-13,"YJhEcX","iTwsAINaRh"
223,847,"fFnMzV",464.71,"groceries",2014-02-03,"fqVjoZ","ZvsUTQKniU"
224,234,"cDKQSA",319.63,"rent",2008-04-10,"bcxlTV","YnMkWxpsAv"
225,195,"NAJZyP",420.02,"gas",2019-06-28,"nEGuQD","wUjTBDkdtU"
226,175,"SgxkNX",235.85,"entertainment",2010-09-03,"UmOoOs","srafwnEoYe"
227,750,"aTMISQ",242.89,"gas",2019-08-18,"nAQApi","gKJRddXIFI"
228,208,"VHbxIk",467.02,"entertainment",2017-11-25,"xRUiSQ","XzJNjZStgs"
229,854,"EYmuWM",473.15,"rent",2016-01-09,"gQCdua","LCVhTpuqdG"
230,107,"kfMlWb",334.22,"other",2011-11-21,"xGDtPy","qPCbVPVkwG"
231,258,"Twgkcy",131.87,"other",2009-01-18,"hQPMAt","uYHtlRFapU"
232,900,"sXesdN",366.12,"clothing",2009-01-13,"eyZfVC","WUUCzTZcTH"
233,772,"XEywHj",193.45,"gas",2014-03-19,"LWRWBb","nvrFjuwRgl"
234,714,"UxOnTJ",463.0,"other",2015-09-10,"DbpHlM","SMPkNSiQJT"
235,44,"zWoDpf",312.31,"rent",2010-07-31,"CDLbtN","QLlPWLwWfj"
236,941,"FruSQB",434.87,"gas",2014-10-16,"jkCfkF","bqwTtxizVt"
237,3,"zQlxil",81.66,"entertainment",2008-04-02,"QvBDDO","dljFgPNIfo"
238,700,"EUvmbO",270.02,"rent",2015-08-10,"egazSK","OlLKrBKVIL"
239,372,"SEgLEw",288.85,"entertainment",2015-09-24,"QNdRib","JmFUQRKimS"
240,419,"ZTlgTl",419.43,"entertainment",2015-08-07,"VsNoFz","QgoCxhVSyb"
241,448,"jyqBwA",338.26,"clothing",2009-08-03,"KJUJOI","IadVoLTAmC"
242,758,"TdxBeI",464.92,"groceries",2015-01-01,"ZROSQU","shkhxGAgbN"
243,750,"YRtdcB",429.54,"other",2010-02-19,"ztcurL","xuuTbKLMrG"
244,446,"qLeOwA",194.16,"entertainment",2011-07-14,"IArevp","zEsOEJFSlC"
245,890,"kkWgIw",310.1,"groceries",2020-09-05,"qzlOZa","pdUpyJBCxv"
246,802,"uHfvjs",429.34,"groceries",2021-07-10,"aUrIKl","RvqxoPYODY"
247,460,"DyfvTJ",379.77,"entertainment",2013-05-19,"VZcpxi","ccsQrkBFQp"
248,403,"CmftBZ",77.57,"rent",2013-10-25,"ncihuM","KHhRnyZHka"
249,105,"lpvrFE",440.19,"gas",2019-10-26,"sidcqG","xHGgZvggXz"
250,582,"OlPJha",29.2,"entertainment",2021-03-09,"MPqGul","TdVsPOudFH"
251,798,"EmyVde",71.51,"clothing",2008-02-27,"HCbTcg","jofHPBwBZe"
252,849,"jpNPlh",17.3,"other",2015-04-19,"hFkfUz","GMQzPkNWnc"
253,686,"XrbMmf",411.77,"entertainment",2012-06-04,"yutKMo","qeeBePAVwC"
254,402,"BdRIgx",445.94,"groceries",2018-01-04,"AqIjNa","xgosRPRoyd"
255,411,"MtOBuq",238.97,"rent",2011-05-09,"paCLcg","qFZYmSyRqw"
256,773,"LOmzLF",273.87,"gas",2010-03-14,"mpoSYl","MGVbyRhcfK"
257,103,"gorygj",461.37,"entertainment",2020-10-12,"wIzzxJ","LVarHlFfTP"
258,247,"vcpitL",173.19,"rent",2019-09-27,"FJSgOL","KJnOaNnoyX"
259,610,"nWLVrA",468.89,"other",2013-01-15,"TnnJQL","nxRZCTfbOe"
260,593,"caDNeZ",82.9,"rent",2017-09-05,"MXowQZ","FGcwEPHGIq"
261,8,"FiUpnb",130.02,"groceries",2020-10-12,"oiHuOd","UAhDbCcFqS"
262,745,"NccEJO",222.42,"other",2018-02-06,"DkDpJr","xSSDvNtWLd"
263,918,"aSxsRY",108.71,"clothing",2020-09-23,"nqEDgM","UKHMkKJSOk"
264,465,"MkgAXg",449.82,"rent",2013-11-14,"DEOUln","VWfIfqqSga"
265,799,"twQRhu",477.08,"clothing",2016-03-18,"qPRKbA","eJeSRxYHkr"
266,839,"OhrHjV",406.53,"clothing",2018-04-19,"uTDOhC","IxbhPGrsPd"
267,70,"rtOIOK",130.31,"other",2021-04-01,"KMqZjO","rIoWIOmByK"
268,620,"JCWQTt",361.11,"rent",2009-04-30,"OBAFkf","RThXLfJPVO"
269,179,"BEWODi",178.3,"groceries",2012-07-12,"PKTHaD","YMkCFkJOfL"
270,869,"kaJylo",456.57,"rent",2018-05-28,"SNiCPH","UVQsMxaSTX"
271,718,"uILopY",391.55,"other",2018-03-25,"HTEZTS","BLEDSmBMPU"
272,341,"tEkPgc",300.47,"gas",2016-08-19,"vwpwXD","CDVNoFBbez"
273,413,"tYnDXx",319.95,"groceries",2020-04-26,"QfOUsH","fPSoiRvnlS"
274,104,"gtzNFR",488.72,"gas",2020-09-08,"DTzAKe","DoJGtmlCWO"
275,171,"GwzFKF",275.11,"rent",2014-07-07,"oROsgl","WLsIjigHlu"
276,681,"xanhPp",337.95,"rent",2016-02-05,"GDyjbW","XuuPCmwhnS"
277,237,"Hzgfxn",130.71,"entertainment",2014-01-06,"fzwyNS","IHhXCpXixM"
278,413,"wAfkgs",357.77,"entertainment",2015-07-07,"gkLlRR","MmTYFeuAHx"
279,698,"SGTUvU",310.51,"groceries",2020-10-15,"NOdfxN","HaFmzCUFwJ"
280,759,"uMiWRW",235.88,"rent",2018-10-11,"erfATe","aFyeMrHIuB"
281,307,"emfNhB",216.18,"groceries",2018-04-26,"SBHDKT","YQfeFVMSLs"
282,881,"SyMgkb",278.83,"rent",2015-07-07,"gbaeca","yCaXoQlmww"
283,76,"RuqzGf",160.86,"other",2009-05-07,"RWFcQF","npPYlujoXq"
284,480,"ntPITX",143.03,"clothing",2011-10-06,"voozFk","mDnhRZPFMB"
285,765,"HLbYcA",407.58,"clothing",2011-10-03,"aEarXA","GhFGOPFZse"
286,616,"FoQagf",307.74,"groceries",2011-02-03,"ALSedZ","rSuLrGRyIa"
287,77,"ScTBeE",456.39,"rent",2017-12-14,"yadByT","QciSpXgDks"
288,552,"EixsWX",133.7,"groceries",2020-02-03,"IymAOt","ZcffBAqmgT"
289,772,"WXGbmp",3.51,"other",2010-03-23,"IiRlMy","Ekpbrjlfjf"
290,220,"yMBzDO",459.56,"other",2016-01-16,"WFQObL","SQZfyqbwwZ"
291,799,"atZuNF",259.67,"entertainment",2008-02-28,"PdHqKn","UKIUhqsmjy"
292,942,"aEBhSG",456.46,"other",2008-06-23,"kMCSXW","XmkchRoDHk"
293,385,"CKPQUi",434.55,"other",2013-06-18,"dUIvKY","CRnRJdoNZL"
294,43,"FeVmBU",119.5,"rent",2017-05-22,"KqKqjj","fguJaOdzUr"
295,373,"jLRbwS",143.24,"groceries",2020-05-06,"JnhCTp","axOmqnssSS"
296,82,"HxtzSm",416.89,"entertainment",2011-10-04,"YlkgFA","BfjipMQPay"
297,617,"yPVwvN",23.13,"rent",2012-01-09,"wCROot","rNmyumSoQc"
298,808,"LezRGH",55.65,"gas",2008-11-17,"zwGWDM","NezkYgqsJR"
299,352,"EDGTWb",103.62,"rent",2008-07-06,"zyARVK","HTlFovUCYj"
300,129,"GnTLbG",261.4,"rent",2011-11-09,"vGQciV","AWyyCRuvkP"
301,547,"jLCoUK",142.11,"groceries",2021-08-16,"kVyAiS","VYeliLYmPb"
