incomeId,budgetId,name,amount,type,date,from,note
54,79,"pDsfAZ",472.01,"clothing",2019-09-26,"FPnVLD","hMuySudTlp"
55,755,"ymKyyX",13.23,"investment",2015-09-03,"tYEnzd","dvAGvEKabZ"
56,216,"MTMxnX",74.02,"salary",2018-07-22,"RgdNqs","ulviHltxul"
57,579,"lgmLLm",61.55,"interest",2009-05-02,"YaMGVx","XhackIYIer"
58,96,"mtuGWL",451.56,"salary",2011-11-23,"iqJkjI","qibBzsUiez"
59,831,"UKdVnf",311.17,"other",2009-10-09,"fWtnzG","UgNvKMQejD"
60,674,"JGGzJQ",316.93,"other",2009-09-05,"UEkjJR","IDJXsigYAL"
61,708,"HNMDdo",74.92,"salary",2014-12-02,"vVwCeZ","kQzTNhnvCO"
62,486,"gGPYcq",104.99,"other",2008-04-21,"xgBbae","iBrtsJeHDe"
63,199,"whnUhc",328.87,"interest",2012-11-18,"QLBMuf","PHjORIwiCn"
64,184,"nTGnZi",66.07,"gift",2018-01-17,"rlDVRw","zIYDbNuktY"
65,189,"uZJaxB",187.16,"salary",2014-01-25,"ULJqcJ","vZILPQhfhm"
66,863,"TVPAPW",56.04,"interest",2019-09-13,"fUdmjU","AitBJKDlfp"
67,754,"RVjVlO",189.54,"clothing",2013-08-27,"keTRlH","QIMjJquxgF"
68,224,"xAJvVi",407.66,"investment",2009-08-01,"zfkLAW","TlQOSchLuY"
69,940,"oHqtJk",412.67,"interest",2020-09-27,"geWmNO","HOJTcurwqp"
70,638,"zoBBNI",279.74,"gift",2015-10-22,"AhFZTr","WMxFjIllCp"
71,467,"anGaUb",499.97,"clothing",2011-10-08,"zhWskx","ucSMDSYRMg"
72,304,"XynwjP",330.1,"clothing",2013-07-29,"RYaTZY","OHPceimtgE"
73,165,"DRjjIs",342.07,"investment",2020-11-24,"KBHWqr","YteRWEmPlk"
74,235,"VNbhPV",343.19,"salary",2016-12-03,"tiXVsl","tdeJhcvDUa"
75,965,"tqjpFx",288.37,"salary",2015-11-28,"eRnGEg","BdYTPxqCdc"
76,630,"TntKCn",128.29,"gift",2010-07-30,"disojI","VdFVAijYvv"
77,488,"nfPmvb",207.95,"other",2010-10-03,"gXFGIa","BIcziEsBqq"
78,714,"zhVTdM",140.66,"interest",2017-04-17,"kSRNXY","kpKZnpQlIQ"
79,597,"AFluuX",15.89,"gift",2008-01-10,"LVIKjj","JQYihLKmWq"
80,241,"LsPhgC",413.05,"other",2015-06-29,"YvfoDw","cbwwfZxEwY"
81,683,"UixyKv",359.42,"interest",2010-05-11,"gyckKo","onxJzhIaXi"
82,728,"fWaxvH",348.35,"investment",2010-01-25,"kuIXZY","JXMqwUwwjT"
83,219,"TRrtFh",49.38,"interest",2012-12-10,"IAhaSE","BqAGtrBqBu"
84,216,"FeZEcg",497.49,"other",2019-08-03,"rWapln","AiTiHfCFVZ"
85,658,"Fjsmfx",493.77,"interest",2020-09-21,"WcgpUR","EyNQkgLCBX"
86,118,"eqGPUm",496.65,"gift",2013-01-19,"oikFRD","UuwULZVYBe"
87,777,"lNPMiO",386.01,"gift",2015-01-10,"hvKEyp","HBayUPnYVa"
88,297,"DcAQyr",296.18,"other",2012-04-20,"MNrcqX","onufYmylPi"
89,537,"LebALQ",160.86,"gift",2009-06-18,"nEVIzZ","mOKALyLJBW"
90,666,"ThsuVl",111.86,"investment",2019-09-11,"wgzrCM","gulFIoQBmV"
91,513,"mQVgqg",131.39,"other",2018-09-29,"BZKvuf","LGYXAstqfn"
92,719,"yGYzzH",22.74,"investment",2009-11-07,"xswvyC","RnugFfcwfg"
93,85,"tBjRLc",414.65,"gift",2015-08-03,"JMmlkg","zRCdAStTrU"
94,246,"GflSRp",11.7,"salary",2016-10-05,"suUXtB","tYsCmYhzwD"
95,151,"boyxwg",447.66,"interest",2013-11-26,"zmHtJh","yArYcnOppR"
96,889,"uyZheR",111.72,"salary",2015-06-05,"zFhDJZ","tkmeriPtZT"
97,961,"bIcKgP",304.25,"investment",2019-10-29,"YnJRKH","wSBnVucZLI"
98,492,"jIQGna",376.55,"other",2016-11-15,"hPLNSb","erLbuEZHQv"
99,138,"qhWlWv",210.18,"clothing",2014-10-16,"yaMhLo","xezBbxxgMd"
100,555,"VPgzeh",415.49,"gift",2012-10-14,"LgAQAR","NYAOodVxid"
101,975,"EjTsyv",164.09,"salary",2017-05-05,"hosyNn","OnHEeYoVYK"
102,145,"hTLhYB",257.63,"interest",2008-06-16,"kZxgzW","XSKDMFseEr"
103,244,"PLnXAk",78.68,"gift",2013-11-30,"UmyXTX","HGHGuOngFt"
104,107,"kzfrvn",443.55,"other",2011-01-07,"CLHwOS","TYEIRkhFGg"
105,894,"cnoyes",212.5,"clothing",2021-06-29,"JcVPMP","moKabuvXVt"
106,782,"bLgfmU",91.82,"other",2009-02-17,"VssuDY","VpzPmkftxP"
107,577,"GnbXIy",236.47,"investment",2012-02-08,"NLlIbi","LULfrGNlOL"
108,378,"ngYOev",205.16,"clothing",2015-06-18,"LYPPmi","ORtcFNmVxw"
109,868,"eWJqAu",403.43,"investment",2015-07-14,"CMDsoQ","jTISAhXwtM"
110,987,"nwlXTc",372.9,"clothing",2020-02-16,"AGYMVX","AXmQDeExRc"
111,843,"VELjce",152.69,"interest",2013-04-18,"QWMEBJ","OHTnwIPpKO"
112,491,"kDHhKD",401.03,"investment",2015-01-18,"PvYrZZ","StLTpbBeCD"
113,559,"afElWv",479.48,"salary",2020-11-22,"iNWzGV","LEDKYXaLMc"
114,855,"AVCOch",183.76,"clothing",2008-07-15,"fqbXjZ","QmFxmUabJw"
115,233,"tWuEuD",469.34,"other",2008-04-02,"ISFsND","CMPNtuVEJG"
116,450,"SPHHPi",24.94,"investment",2018-07-28,"nCKSbb","wORuAZhVGu"
117,692,"rmjRVT",308.98,"salary",2018-04-21,"NvnCyE","FUNyYjaWFZ"
118,172,"GWDWFE",364.94,"investment",2013-05-02,"GlfSbz","TPjDEKtHEV"
119,24,"lCrgfN",245.1,"gift",2020-07-11,"oNjshn","FWsUKBwjMs"
120,544,"dYqqmJ",367.81,"other",2020-03-11,"wRpJeR","piMyYqDMfB"
121,289,"BgBKGq",149.76,"gift",2015-08-29,"ZSpCJo","RMFsoxvFvC"
122,800,"MbBOpD",412.28,"investment",2018-09-04,"rigJrK","xkosHjcKcL"
123,956,"jWJjiR",115.12,"investment",2010-05-11,"lLQBPW","guWRdgCYfn"
124,322,"gIwJKR",368.42,"interest",2014-03-28,"OqjaQH","sjgxBEWRov"
125,636,"YmcJAL",199.79,"salary",2011-12-14,"yODwEs","rhsriUKvhd"
126,348,"sZPnkM",94.14,"other",2017-08-30,"oGkdno","DYGjpJdEXn"
127,389,"kPsaZM",143.07,"investment",2018-07-18,"NpvvYe","zJwfpEEGkv"
128,242,"gZTWBz",397.41,"investment",2015-01-20,"TZVygu","JhNLBPkDOe"
129,848,"lROlid",286.74,"other",2018-11-29,"GCZFUy","WNCfczwdWe"
130,418,"zrFvEG",305.43,"investment",2021-11-24,"QoxVEX","wLbCoORVDC"
131,763,"jklKoE",178.53,"investment",2016-02-15,"Lrnkxe","QmuyuQmkkP"
132,656,"zWgwrX",345.3,"investment",2019-10-07,"eywsmA","alxCPVTlKV"
133,487,"iWqfsB",427.29,"other",2019-03-08,"LtQegt","fsbiyqaoeA"
134,240,"nXWzBC",397.91,"gift",2014-01-10,"mcJLQW","kluAjAgLWp"
135,592,"hxnCGA",106.44,"salary",2019-06-17,"mfxNqW","pXYutmMdNl"
136,435,"BsHkhj",410.31,"salary",2014-11-21,"DHxrEp","RgoTlHnbTI"
137,717,"AtOeWn",493.51,"clothing",2020-01-03,"oAbkQk","akkOdFDBoD"
138,438,"niceNB",317.24,"interest",2013-07-24,"GZjFnj","MpVcGChHnt"
139,522,"GLEbgJ",177.61,"interest",2017-05-26,"xVlAPK","WBvMTsRNfW"
140,506,"uCwrcg",276.79,"other",2019-05-11,"NozoJH","uUUIZUazxR"
141,477,"eAAdwS",247.25,"investment",2012-02-11,"dNoTfi","swjitHrDLP"
142,439,"CIAZil",69.96,"other",2015-12-09,"AiGQjb","swopNYqmha"
143,267,"wPwdxc",381.19,"clothing",2019-12-07,"YiOhIv","ebmJnhGvCT"
144,644,"dfbINV",101.78,"other",2008-02-26,"HUxCjO","EueuMBxvzZ"
145,961,"hsRVWZ",86.72,"interest",2008-04-05,"JdKNiL","WZiqkelfGh"
146,908,"fhTAUa",438.2,"gift",2016-06-15,"ohkuuv","BhidzNeSPN"
147,410,"oxJKqa",117.29,"salary",2014-05-25,"udgvFm","PYPBLJwteP"
148,248,"kaxoZj",416.21,"salary",2015-01-11,"hcIgoK","enqaVeAJnA"
149,901,"gvEdOI",240.1,"interest",2016-05-17,"RGTjeQ","dGpzpjslGS"
150,148,"cbqeKE",355.72,"interest",2013-02-03,"wUPxbu","cxykfjVObh"
151,233,"QufWNf",52.66,"investment",2013-08-08,"MuEuWp","CQrBNokdOv"
152,912,"DsMznT",0.9,"gift",2021-10-02,"ZGnYwK","PPfSfshRne"
153,158,"AxBkBS",245.78,"clothing",2013-03-20,"NFhXSY","iqUyIwTHMy"
154,365,"EPUclo",491.99,"gift",2020-08-22,"JUCQmc","nhnLYzRadj"
155,853,"AEsUdE",24.2,"salary",2021-02-03,"iQlfvy","krdxiJZBLU"
156,640,"fZniLP",446.88,"investment",2016-04-04,"SnaNAj","gFWSJkXPRz"
157,136,"gYNJfS",210.78,"other",2010-09-15,"RlUSpT","VdDTuAvKID"
158,213,"gSghBr",146.52,"other",2015-02-07,"MrHGbj","yZCHNzyVwI"
159,649,"vhUbdc",71.01,"investment",2008-09-08,"pmdhee","lLWEbIaKtG"
160,942,"abPWGA",332.56,"clothing",2015-03-16,"LPEBoh","SYDJpEunIq"
161,444,"dmgZMc",152.28,"interest",2009-09-11,"rxwieD","dlCTBdZMNf"
162,230,"esiIGi",20.53,"investment",2017-12-29,"IESHVX","DllPZvwMlh"
163,41,"dQXszC",458.83,"investment",2012-02-20,"SzmXLr","eUdoXCLiUN"
164,510,"FCfbhj",345.94,"salary",2011-03-30,"ZQVxVQ","cWXlXspMGJ"
165,977,"iPuChF",97.16,"interest",2009-06-18,"qGxNZP","bMEhZDALwK"
166,470,"fMaOdX",285.13,"interest",2015-12-15,"hNSBqb","ILvVRrpVWL"
167,431,"IoekMd",445.82,"investment",2021-05-15,"yzYwyh","lDZkAYqdQn"
168,579,"BvMxyw",292.9,"salary",2018-01-10,"RDHMfb","NMaEmRTYDr"
169,180,"ldXQju",125.91,"other",2012-03-03,"PODrWn","fusBQVmAYC"
170,546,"MALbYC",236.88,"other",2018-06-13,"BACDpe","qDYGzyjTeM"
171,476,"LpWsgN",11.48,"clothing",2009-04-25,"NJlMgW","kKDTWPfZIx"
172,211,"iWKzWb",470.52,"other",2009-01-17,"kcVfqY","yiOfcdRlcu"
173,332,"Zvabax",495.72,"interest",2018-12-28,"hICyEI","JNHuvjaNRZ"
174,415,"RcknDd",262.58,"interest",2008-07-10,"ViNIIA","GQRlGyxCET"
175,384,"GASGSP",376.16,"other",2017-08-18,"OSLXIU","SRXMAnsiZT"
176,48,"caOCYU",432.39,"clothing",2018-05-22,"FCjqDE","WRpUSEnJPI"
177,399,"sBBZjN",346.33,"investment",2020-08-17,"uDXSFr","vODrxBMNnL"
178,664,"EWjJmU",149.82,"investment",2015-09-17,"gUoEUM","NatTJZrNfq"
179,941,"kkkgqv",23.93,"investment",2014-12-09,"nqQjFM","qaQudHguPg"
180,799,"oFvDjS",199.36,"salary",2013-04-25,"OKNpTc","sZbjJHIWKK"
181,666,"irDjIN",368.98,"clothing",2018-11-27,"SoblPs","KBumRAGnmr"
182,752,"tzbqOQ",493.24,"interest",2008-03-19,"Ejbgju","eVKnIxCHcx"
183,64,"TbaBpv",174.23,"interest",2020-03-16,"ttaETO","XUvtqDkYuq"
184,224,"QihvGq",333.63,"gift",2017-06-06,"EbpuJi","VitWFtYGJi"
185,675,"FDLNFE",180.29,"salary",2013-08-21,"hZrNCr","RFBhKZzrHH"
186,431,"yXfyUB",287.83,"other",2014-06-13,"bPLjVg","rXEdqAYTPC"
187,725,"hftbLE",164.76,"investment",2013-02-01,"SFTvbj","xtEZGJKlPe"
188,404,"fabMDW",142.17,"salary",2008-06-26,"sAWQJq","VrMukfnBlU"
189,744,"UXebCh",274.46,"interest",2014-01-12,"HZnSkR","xbqrfhtwhS"
190,517,"uHRKfs",151.19,"interest",2016-02-28,"Ufyqfz","LmyaIZMeGb"
191,53,"MGXTyS",448.2,"other",2013-03-29,"dcLUEM","zbBYuLQHzZ"
192,679,"GlwzMf",180.18,"salary",2015-05-09,"ZGMxIl","ScwcjBKPmQ"
193,387,"lzSbTM",485.16,"other",2020-11-06,"qxxaVT","SEKMzkWTtV"
194,355,"SkXXys",456.05,"salary",2012-11-13,"fnWEYC","stefdLMuLe"
195,803,"ngqVvV",259.59,"interest",2019-12-29,"zSgScS","FauWXazDvs"
196,848,"XeWebT",75.98,"investment",2021-12-10,"WAHBZR","fEmTTeVoGd"
197,249,"iSiAJe",394.28,"gift",2009-06-20,"BMgFFf","QCXqeGYpGB"
198,716,"QVfjwq",134.85,"interest",2012-06-14,"mIlvTr","DWCLJOfUgK"
199,109,"wFVgWd",267.21,"salary",2016-01-29,"lUXAUz","VYXCEjoGmT"
200,698,"JiYVra",402.18,"interest",2012-10-08,"DWpaJR","seFhMwGJAv"
201,74,"MLicSs",2.4,"salary",2014-04-09,"YLspSD","WvKRHKFkdj"
202,400,"mnxjAL",438.25,"salary",2008-03-13,"UEgsLM","TdiHEOfQdn"
203,330,"IbkMnj",351.81,"interest",2009-05-19,"tlhvcg","xPGNurdZnJ"
204,881,"yXErmu",339.23,"gift",2013-09-19,"jZFxcB","HNAJLhWRaU"
205,1000,"pAqXpm",410.47,"investment",2012-02-27,"LNPEXT","TqOfiuhhaA"
206,784,"FqFPgZ",446.71,"interest",2009-03-11,"LVCVyV","FgAFKoMlBs"
207,215,"TYDjve",353.43,"clothing",2009-02-03,"JEoKBx","qORuBFDYvh"
208,896,"TmMaJR",170.72,"interest",2013-05-23,"nAfAQB","AXLWpEUVBQ"
209,639,"JmXFqr",491.83,"investment",2010-06-04,"gkPbtY","oRdzwVgjsp"
210,8,"PQFDgY",290.81,"interest",2016-04-14,"MmGzfD","cCdwEErdoC"
211,311,"NJyIlI",34.13,"interest",2021-03-22,"SsdBHh","izOkdZQUjF"
212,527,"TwhDMz",63.15,"investment",2019-02-11,"ofsVgI","tVqHckLJep"
213,758,"pkhkuS",492.94,"investment",2010-07-13,"pfAOxa","nLvWHdgOxr"
214,493,"vaqDuz",209.43,"investment",2021-05-04,"SRxyaK","wIJZhyMVQF"
215,398,"UPLKhK",111.37,"clothing",2013-03-10,"VaNGEh","WVeeRRnwjJ"
216,968,"CwScay",421.73,"interest",2012-01-14,"EjnhBy","OCCOgBhOyF"
217,900,"HRyZxv",340.35,"investment",2019-04-28,"xPSEIj","lfANzfAlFR"
218,648,"VhUQJu",470.66,"investment",2018-02-13,"sBkVWT","aFShXUFjyR"
219,518,"zErJvr",360.9,"other",2011-07-11,"VMrSIH","uLLObnWUlI"
220,539,"dHKPPQ",404.41,"investment",2019-01-25,"ATISIM","VGsRJBBlID"
221,23,"Xdjbee",188.87,"interest",2009-11-01,"ATOpBD","HfgSptxMEK"
222,135,"cFXfJJ",366.85,"other",2009-05-22,"eOHrzS","lBGqYYVMtt"
223,434,"oaajxk",408.68,"gift",2019-02-11,"YBmjLm","AFYPDIoUxx"
224,895,"DRGRFM",453.39,"clothing",2017-03-29,"UPpSOJ","miGjSYyGRD"
225,788,"BWyEli",41.29,"investment",2012-09-30,"QILPjC","DydHXBvwHk"
226,474,"wUHhwK",156.16,"clothing",2012-08-01,"tcbMFS","wayTCViMVn"
227,296,"ytxfgL",268.91,"interest",2009-08-14,"UbjWhB","kjkgjpsTUP"
228,609,"kvbEAH",418.0,"investment",2012-08-16,"zotDTd","nObzZTwOBY"
229,751,"fnAzrX",369.57,"salary",2018-06-23,"CywYFO","ptRYhFrIyL"
230,90,"IiYtDm",360.47,"other",2013-10-10,"ZNTQgd","UfQGwjNttn"
231,343,"zqmnjz",50.2,"salary",2019-04-08,"SROWDa","cKGcyBWxfF"
232,975,"AgmLBe",418.21,"investment",2016-10-13,"NZkmUb","oJieAaiMeq"
233,507,"OtGdPp",409.74,"investment",2018-09-11,"Ovafjd","xFCXdVqKUz"
234,725,"AVqDbl",41.86,"salary",2018-05-04,"KtoyBw","uJvlExIKmO"
235,323,"jzxRnS",280.81,"other",2015-12-05,"VgzNGg","ogNvxohCLG"
236,816,"MncpwS",125.42,"clothing",2012-10-10,"lFVfuD","TNVvIThmyY"
237,372,"yHCnSr",122.37,"interest",2021-09-17,"zxtLmu","wyysQPeHNF"
238,897,"DqmkfG",23.46,"interest",2014-12-06,"lkgaTA","OjIPzGzhrN"
239,240,"wJFZoE",370.34,"salary",2017-02-04,"nTTOEO","BTosQGxCjl"
240,625,"IalIhI",262.45,"interest",2009-03-14,"qVJcwB","oEmsaQbLAw"
241,841,"WCNNre",457.74,"interest",2009-03-07,"HfKVXM","VUcjsYuMQT"
242,490,"wDjZur",70.79,"clothing",2009-08-22,"DfQlPJ","HypVanzVkV"
243,745,"NDSuwd",129.89,"clothing",2011-09-20,"RBXjAj","glYpxPnwGn"
244,762,"gcAWkh",297.69,"interest",2019-12-11,"sDNkRW","ygTFjkNDTd"
245,802,"QyQYQs",461.02,"gift",2014-02-13,"hzfuvj","PuusgJBeeG"
246,220,"sEMtmY",342.09,"other",2008-04-25,"ESnWAx","aCOoWOEuSA"
247,867,"SQvZkz",414.24,"investment",2016-06-11,"BYrnnO","edWVbrfbdL"
248,102,"DNznkq",174.77,"interest",2019-03-20,"TmSPdb","RUfBHnxmrZ"
249,81,"YUMamf",121.75,"gift",2013-08-08,"tyLBZe","QyiWYiycQh"
250,542,"vVjyDA",266.29,"interest",2019-05-08,"AgmVHk","jtvQSUmPkL"
251,105,"gCIZiS",482.67,"gift",2018-06-12,"HDQKit","HVhMVJUeQt"
252,220,"ldcwXw",301.21,"salary",2008-07-17,"AMoesy","wgvEtBkHlY"
253,953,"cnJXEG",346.28,"gift",2011-05-31,"jBbVAd","wNVXkqxPKi"
254,997,"yHEiJL",110.33,"interest",2015-12-02,"XMKPHe","jQANgXfOfI"
255,914,"pZKEqw",359.37,"investment",2019-01-07,"rVWkwB","PnChqVJMTn"
256,109,"cMOXEj",308.45,"gift",2013-08-04,"fVeySL","ngxXeHjJQy"
257,276,"utAmZA",180.24,"clothing",2008-11-14,"xZuZqf","qDhHSgxQOC"
258,673,"zmyTxT",67.1,"clothing",2021-08-18,"WywDkU","grZjTPhKLu"
259,236,"nGJrst",472.18,"clothing",2021-10-14,"TSeSda","QtodqBFwkd"
260,445,"jBsKrt",141.99,"clothing",2018-05-31,"BAIYyF","IvmXoGJpYt"
261,736,"cFVVBn",416.49,"gift",2010-06-24,"CCFUcS","SAZfGRMLSl"
262,634,"HnfXrn",214.57,"other",2020-11-30,"zPaCcc","YkshUEGokv"
263,750,"nPoTIM",319.05,"other",2017-08-08,"bcGNNu","ufZFiDtYLM"
264,455,"aBMipw",50.55,"interest",2017-03-08,"YLGXtj","vaQAhUjRqt"
265,309,"IkWzdh",313.9,"investment",2016-01-30,"yvmaLS","NWvwtDMNvg"
266,84,"rLhrJs",18.71,"gift",2017-12-29,"gqGDXw","tkXgnWursr"
267,848,"yGaUgH",293.03,"gift",2008-08-26,"PNAeyU","rbdWhHVXWk"
268,853,"wzZsQh",7.18,"interest",2015-01-09,"xcEJXH","RUYgTsVsoD"
269,80,"rbvwuz",31.4,"gift",2012-05-12,"FYMqKu","IApZkTcrdN"
270,652,"JlKcjy",277.9,"interest",2020-11-20,"PvSXkJ","wvITqUsWfG"
271,392,"TvNxxg",176.16,"interest",2009-04-01,"LASAgp","gWtZcXXiLU"
272,987,"yIkAfQ",474.85,"clothing",2009-12-19,"nGqtrw","ogdyxxmXKF"
273,487,"YsWMjA",343.76,"investment",2017-10-02,"ldUQuG","RvrFaiVXTL"
274,141,"HXqScy",413.23,"investment",2020-01-19,"ebxtyR","ZZtVqhmAsI"
275,194,"PDStEH",180.44,"salary",2013-01-25,"yhJYYD","mHzDXYzHNo"
276,196,"UXWXen",452.46,"investment",2018-04-25,"JgCfbV","gKuFXfUABK"
277,711,"JylTAd",146.85,"gift",2014-08-04,"oZMzzG","kBVdAmqhTE"
278,512,"KRAacu",111.01,"clothing",2016-07-08,"QqxXao","bQuNUUqCkO"
279,374,"sZbfEV",97.42,"gift",2008-11-15,"UNICVM","PnQHnAhlSk"
280,277,"anIkAI",346.72,"salary",2015-12-13,"bQwyhc","kSjGQaXXYj"
281,193,"XiBLAt",32.43,"clothing",2015-01-11,"LpidbC","HfgBLRWMZL"
282,164,"nXqIOE",486.36,"other",2011-04-11,"DnqeBg","ZuxzXbvzMS"
283,320,"vDrpAo",50.85,"investment",2021-01-03,"cCxxoX","fLtTUqUXVq"
284,29,"HCbkMT",320.37,"investment",2012-08-12,"BHiDCV","QuzuJGitIW"
285,388,"OZuXMX",44.45,"interest",2020-10-30,"mXWWsa","pCoRyBKhaT"
286,357,"yBpVgd",122.54,"salary",2020-09-01,"tqTtIl","PbcmeTEbgM"
287,511,"rtDOGM",26.37,"interest",2013-11-03,"tUKUTs","LKLNeoyvmB"
288,40,"EaCUtL",0.92,"other",2008-02-26,"ZNihHN","WvTYgJaguc"
289,94,"jlCkkD",189.92,"investment",2021-12-09,"ggNlTr","OzqaONSgqn"
290,384,"yMWlvY",219.74,"clothing",2020-04-26,"RguoCr","hGOgRulWaG"
291,303,"CJsTsf",474.46,"interest",2017-04-09,"jzICtJ","ykQCLrzOsx"
292,139,"UdQfPr",384.68,"other",2018-06-24,"kVzYbc","RcoBUtpewO"
293,595,"bKqbUq",459.66,"other",2012-08-23,"kGBBOa","ppxXhSHooB"
294,515,"mUfvpJ",278.85,"other",2021-10-20,"MONQYi","jNGTmmChbL"
295,529,"XLwxGp",494.57,"salary",2017-04-02,"BJhzVe","VvXMwfKMzw"
296,781,"ZidzCR",343.52,"salary",2013-11-04,"OKxlYz","QldFDVolun"
297,750,"CVWEEZ",166.94,"investment",2019-07-10,"ivHEZu","lwGmEqgjZy"
298,806,"dvpqpa",56.44,"clothing",2016-10-04,"NzUQQb","smGtjGzNiZ"
299,572,"sIqWss",118.01,"investment",2014-10-21,"jBpUNa","ovOZSKDqjm"
300,598,"rDxwVZ",167.5,"gift",2010-02-13,"sYqIwO","bNiViVyDGR"
301,508,"ktGRLy",393.69,"interest",2014-05-06,"ApWGaM","eHWdTJcLdm"
302,788,"Ggxtzd",247.68,"gift",2009-10-06,"PcyZkP","cgmWLzdNNg"
303,808,"opQMBo",456.6,"gift",2017-06-25,"UalbLS","CzTVzqRfyr"
